source_concept_code,source_description,fca_concept_id,reason,intent
10003,Face,C0000.00,no_clinical_attributes,
10004,Anterior chest,C0000.00,no_clinical_attributes,
10005,Abdomen,C0000.00,no_clinical_attributes,
10006,Left upper arm,C0000.00,no_clinical_attributes,
10007,Right upper arm,C0000.00,no_clinical_attributes,
10008,Left forearm,C0000.00,no_clinical_attributes,
10010,Right forearm,C0000.00,no_clinical_attributes,
10011,Left hand,C0000.00,no_clinical_attributes,
10013,Right hand,C0000.00,no_clinical_attributes,
10014,Left fingers,C0000.00,no_clinical_attributes,
10015,Right fingers,C0000.00,no_clinical_attributes,
10016,Left thigh,C0000.00,no_clinical_attributes,
10017,Right thigh,C0000.00,no_clinical_attributes,
10018,Left leg,C0000.00,no_clinical_attributes,
10019,Right leg,C0000.00,no_clinical_attributes,
10020,Left foot,C0000.00,no_clinical_attributes,
10021,Right foot,C0000.00,no_clinical_attributes,
10023,Is there anything that triggers these behaviors?,C0000.00,no_clinical_attributes,
10024,What interventions have you taken or plan to take?,C0000.00,no_clinical_attributes,
10027,Hypertension,C0000.00,no_clinical_attributes,
10028,Abnormal renal function,C0000.00,no_clinical_attributes,
10029,Abnormal liver function,C0000.00,no_clinical_attributes,
10030,Age greater than 65,C0000.00,no_clinical_attributes,
10031,History of Stroke,C0000.00,no_clinical_attributes,
10032,History of bleeding,C0000.00,no_clinical_attributes,
10033,Labile INRs (TTR < 60%),C0000.00,no_clinical_attributes,
10035,Concomitant antiplatelet or NSAID use,C0000.00,no_clinical_attributes,
10036,Concomitant alcohol use,C0000.00,no_clinical_attributes,
10038,HAS-BLED Interpretation,C0000.00,no_clinical_attributes,
10042,Patient Caregiver,C0000.00,no_clinical_attributes,
10043,Other,C0000.00,no_clinical_attributes,
10044,Interested in Research/Clinical Trials?,C0000.00,no_clinical_attributes,
10047,Current Stage of ADRD,C0000.00,no_clinical_attributes,
10048,Receiving Medication for ADRD?,C0000.00,no_clinical_attributes,
10049,Specify Medications,C0000.00,no_clinical_attributes,
10050,Prolonged Exposure to Contaminants/Toxins?,C0000.00,no_clinical_attributes,
10051,Describe Exposure,C0000.00,no_clinical_attributes,
10052,Stage of ADRD at Diagnosis,C0000.00,no_clinical_attributes,
10053,Did you take a sleep aid last night before you came to the sleep center?,C0000.00,no_clinical_attributes,
10054,What did you take?,C0000.00,no_clinical_attributes,
10055,Sleep aid dosage,C0000.00,no_clinical_attributes,
10056,How does this compare with the length of time it usually takes you to fall asleep at home?,C0000.00,no_clinical_attributes,
10057,"On a scale of 1 (Deep) to 5 (Light), your sleep last night was:",C0000.00,no_clinical_attributes,
10058,"On a scale of 1 (Short) to 5 (Long), your sleep last night was:",C0000.00,no_clinical_attributes,
10060,"On a scale of 1 (Interrupted) to 5 (Uninterrupted), your sleep last night was:",C0000.00,no_clinical_attributes,
10061,"On a scale of 1 (Dreamless) to 5 (Many dreams), your sleep last night was:",C0000.00,no_clinical_attributes,
10062,"On a scale of 1 (Restless) to 5 (Restful), your sleep last night was:",C0000.00,no_clinical_attributes,
10063,Describe your dream.,C0000.00,no_clinical_attributes,
10065,Were you bothered by sleeping in the lab last night?,C0000.00,no_clinical_attributes,
10066,Please describe why you were bothered.,C0000.00,no_clinical_attributes,
10067,How would you describe the CPAP/BiPAP used last night?,C0000.00,no_clinical_attributes,
10068,Did you use a CPAP or BiPAP machine last night?,C0000.00,no_clinical_attributes,
10069,Would you be willing to use the CPAP or BiPAP at home?,C0000.00,no_clinical_attributes,
10071,Describe why not.,C0000.00,no_clinical_attributes,
10072,What time do you typically go to bed?,C0000.00,no_clinical_attributes,
10073,What time did you go to bed last night?,C0000.00,no_clinical_attributes,
10074,What time do you typically wake up?,C0000.00,no_clinical_attributes,
10075,What time did you wake up today?,C0000.00,no_clinical_attributes,
10076,List all medications you took today.,C0000.00,no_clinical_attributes,
10077,How long does it typically take you to fall asleep?,C0000.00,no_clinical_attributes,
10078,"If so, at what time?",C0000.00,no_clinical_attributes,
10079,List all medications that you plan to take right before bed tonight.,C0000.00,no_clinical_attributes,
10080,List any other medications that you have taken in the last three weeks.,C0000.00,no_clinical_attributes,
10085,When was the last one today?,C0000.00,no_clinical_attributes,
10089,Check the statement that best describes how you feel right now:,C0000.00,no_clinical_attributes,
1010010002,Interpreted for,C0000.00,no_clinical_attributes,
1010010003,Arrival Time,C0000.00,no_clinical_attributes,
1010010004,Time Called (list phone number in comments),C0000.00,no_clinical_attributes,
1010010005,Interpreted by,C0000.00,no_clinical_attributes,
1010010007,Interpreter,C0000.00,no_clinical_attributes,
1010010010,Interventions to Clear Airway,C0000.00,no_clinical_attributes,
1010010020,History of LOC?,C0000.00,no_clinical_attributes,
1010010021,History of Neurological Trauma?,C0000.00,no_clinical_attributes,
10130,HEM ONC - Upcoming Visit Care Team Needs,C0000.00,no_clinical_attributes,
10131,HEM ONC - Visit Plan of Care Comments,C0000.00,no_clinical_attributes,
10132,Therapy,C0000.00,no_clinical_attributes,
10133,Device,C0000.00,no_clinical_attributes,
10134,Manufacturer,C0000.00,no_clinical_attributes,
10135,Type,C0000.00,no_clinical_attributes,
10136,Size,C0000.00,no_clinical_attributes,
10137,Alternate Mask Suggestions,C0000.00,no_clinical_attributes,
10139,Infection Prevention,C0000.00,no_clinical_attributes,
10140,Electrical Safety,C0000.00,no_clinical_attributes,
10141,Fall Prevention Measures,C0000.00,no_clinical_attributes,
10142,Emergency Preparedness,C0000.00,no_clinical_attributes,
10143,Equipment Safety,C0000.00,no_clinical_attributes,
10144,Supply Replenishment,C0000.00,no_clinical_attributes,
10145,Fire Assessment Performed,C0000.00,no_clinical_attributes,
10146,Smoke Detector Present,C0000.00,no_clinical_attributes,
10147,Smoke Detector Functional,C0000.00,no_clinical_attributes,
10148,Fire Extinguisher Present,C0000.00,no_clinical_attributes,
10149,Emergency Evacuation Route,C0000.00,no_clinical_attributes,
10150,Placement,C0000.00,no_clinical_attributes,
10151,Safety Review,C0000.00,no_clinical_attributes,
10152,Demonstrate Unite/Accessories,C0000.00,no_clinical_attributes,
10153,Cleaning and Maintenance,C0000.00,no_clinical_attributes,
10154,Troubleshooting Techniques/Alarms,C0000.00,no_clinical_attributes,
10155,"Medicare guidelines explained, if applicable",C0000.00,no_clinical_attributes,
10156,Demonstrate,C0000.00,no_clinical_attributes,
10157,Review and/or Explain,C0000.00,no_clinical_attributes,
10158,What type of device does the patient have?,C0000.00,no_clinical_attributes,
10159,Rate (BRPM),C0000.00,no_clinical_attributes,
10160,PS (Min),C0000.00,no_clinical_attributes,
10161,PS (Max),C0000.00,no_clinical_attributes,
10162,EEP,C0000.00,no_clinical_attributes,
10163,EPR/Bi-Flex,C0000.00,no_clinical_attributes,
10164,Ramp/Setting,C0000.00,no_clinical_attributes,
10165,EPAP (Min),C0000.00,no_clinical_attributes,
10166,EPAP (Max),C0000.00,no_clinical_attributes,
