source_concept_code,source_description,assessment_concept_id,assessment_concept_name,qualifier_concept_id,qualifier_concept_name,method_qualifier_concept_id,method_qualifier_concept_name,temporal_qualifier_concept_id,temporal_qualifier_concept_name,value_domain_type,fca_concept_id,predicate_id,confidence,mapping_justification
10280,Stoma Color,4264810,Color of skin,0,,0,,0,,,C0072.04,broadMatch,0.6,"FCA concept C0072.04: intent={assessment:color, body_site:skin}"
107000234,Sterile dressing applied prior to removing drapes,761103,Wound dressing observable,0,,0,,0,,,C0058.01,broadMatch,0.6,"FCA concept C0058.01: intent={assessment:dressing, body_site:skin}"
10701000181,Pre-op Bath Given,4108023,Ability to wash self,0,,0,,4119031,Preoperative,,C0065.02,broadMatch,0.6,"FCA concept C0065.02: intent={assessment:bathing, temporal:pre_op}"
10701000460,Vaginal Drainage Present,4312638,Skin drainage,0,,0,,0,,,C0050.01,broadMatch,0.6,"FCA concept C0050.01: intent={assessment:drainage, body_site:pelvis}"
10701000533,Skin Temperature,4302666,Body temperature,0,,0,,0,,,C0060.11,broadMatch,0.6,"FCA concept C0060.11: intent={assessment:temperature, body_site:skin}"
10701000539,Skin Color,4264810,Color of skin,0,,0,,0,,,C0072.04,broadMatch,0.6,"FCA concept C0072.04: intent={assessment:color, body_site:skin}"
10701000556,Wound Assessment,4021667,Wound finding,0,,0,,0,,,C0043.03,broadMatch,0.6,"FCA concept C0043.03: intent={assessment:wound, body_site:skin}"
1120100007,Heart Sounds,4158197,Heart sounds,0,,0,,0,,,C0251.00,broadMatch,0.6,"FCA concept C0251.00: intent={val_type:custom_list, assessment:heart_sounds, body_site:chest}"
1120100008,Breath Sounds Left,4278456,Breath sounds - finding,4300877,left,0,,0,,,C0250.03,broadMatch,0.8,"FCA concept C0250.03: intent={val_type:custom_list, assessment:breath_sounds, laterality:left}"
1120100010,Breath Sounds Right,4278456,Breath sounds - finding,4080761,right,0,,0,,,C0250.02,broadMatch,0.8,"FCA concept C0250.02: intent={val_type:custom_list, assessment:breath_sounds, laterality:right}"
1120100047,Skin Temperature,4302666,Body temperature,0,,0,,0,,,C0060.11,broadMatch,0.6,"FCA concept C0060.11: intent={assessment:temperature, body_site:skin}"
